;Tool  Pocket Z Offset     Diameter     Max RPM Remark
T1     P1     Z+0.000000   D+0.000000   U0     ; 1/8" 3 Flute 45 deg Helix 0.375 loc 1.500 oal
T2     P4     Z+0.000000   D+0.000000   U0     ; 3/16" 3 Flute 45 deg Helix 0.5625 loc 2.000 oal
T3     P3     Z+0.000000   D+0.000000   U0     ; 1/4" 3 Flute 45 deg Helix 0.750 loc 3.000 oal
T4     P4     Z+0.000000   D+0.000000   U0     ; 1/4" 3 Flute 45 deg Helix 1.250 loc 3.250 oal
T5     P2     Z+0.000000   D+0.000000   U0     ; 3/8" 3 Flute 45 deg Helix 1.000 loc 2.500 oal
T6     P7     Z+0.000000   D+0.000000   U0     ; 3/8" 3 Flute 45 deg Helix 1.500 loc 3.500 oal
T7     P6     Z+0.000000   D+0.000000   U0     ; 1/2" 3 Flute 45 deg Helix 2.000 loc 4.000 oal
T8     P8     Z+0.000000   D+0.000000   U0     ; 1/2" 3 Flute 45 deg Helix 1.250 loc 3.000 oal
T9     P9     Z+0.000000   D+0.000000   U0     ; 3/16" 3 Flute Ball End Mill 38 Deg Helix .625 loc 2.500 oal
T10    P10    Z+0.000000   D+0.000000   U0     ; 1/4" 3 Flute Ball End Mill 38 Deg Helix .750 loc 2.500 oal
T11    P11    Z+0.000000   D+0.000000   U0     ; 3/8" 3 Flute Carbide Ball End Mill 38 Deg Helix .875 loc 2.500 oal
T12    P13    Z+0.000000   D+0.000000   U0     ; 1/2" 3 Flute Chipbreaker End Mill 1.375 loc
T13    P13    Z+0.000000   D+0.000000   U0     ; 1/8" 4 Flute VH End Mill TiALN 0.500 loc 0.010 CR 1.500 oal
T14    P14    Z+0.000000   D+0.000000   U0     ; 3/16" 4 Flute VH End Mill TiALN 0.625 loc 0.010 CR 2.000 oal
T15    P15    Z+0.000000   D+0.000000   U0     ; 1/4" 4 Flute VH End Mill TiALN 0.750 loc 0.015 CR 2.500 oal
T16    P16    Z+0.000000   D+0.000000   U0     ; 5/16" 4 Flute VH End Mill TiALN 0.8125 loc 0.015 CR 2.500 oal
T17    P17    Z+0.000000   D+0.000000   U0     ; 3/8" 4 Flute VH End Mill TiALN 1.0000 loc 0.020 CR 2.500 oal
T18    P18    Z+0.000000   D+0.000000   U0     ; 1/2"  4 Flute VH End Mill TiALN 1.250 loc 0.030 CR 3.000 oal
T19    P19    Z+0.000000   D+0.000000   U0     ; 1/4" 4 Flute End Mill Undercut AlTiN 0.375 loc 1.250 reach 4.000 oal
T20    P20    Z+0.000000   D+0.000000   U0     ; 3/8" 4 Flute End Mill Undercut AlTiN 0.500 loc 1.875 reach 4.000 oal
T21    P21    Z+0.000000   D+0.000000   U0     ; 1/4" 4 Flute Helical Chamfer Mill .250 Dia 90 Degree 2.000 oal
T22    P22    Z+0.000000   D+0.000000   U0     ; 3/8" 4 Flute 90 DEGREE CHAMFER MILLS
